project,fault,runtime
Chart,1,266
Chart,2,832
Chart,3,103
Chart,4,2208
Chart,5,289
Chart,6,522
Chart,7,21
Chart,8,24
Chart,9,84
Chart,10,7
Chart,11,159
Chart,12,636
Chart,13,272
Chart,14,1750
Chart,15,869
Chart,16,30
Chart,17,89
Chart,18,97
Chart,19,1112
Chart,20,316
Chart,21,24
Chart,22,53
Chart,23,10
Chart,24,18
Chart,25,53
Chart,26,2311
Chart,200154,1062
Chart,200157,1102
Chart,200158,1113
Chart,200159,1121
Chart,200160,1114
Chart,200164,1116
Chart,200167,1147
Chart,200320,1087
Chart,200323,1154
Chart,200324,1137
Chart,200325,1157
Chart,200326,1135
Chart,200330,1151
Chart,300265,148
Chart,300266,148
Chart,400483,2494
Chart,500080,429
Chart,500081,425
Chart,500082,422
Chart,500084,409
Chart,500085,425
Chart,500086,402
Chart,500087,434
Chart,500088,447
Chart,600004,763
Chart,600005,858
Chart,600006,773
Chart,600007,806
Chart,600008,911
Chart,600009,1019
Chart,600010,1266
Chart,900243,115
Chart,900244,152
Chart,900245,148
Chart,900246,181
Chart,900247,171
Chart,900248,163
Chart,900249,174
Chart,900250,251
Chart,900251,194
Chart,1100044,1276
Chart,1200001,906
Chart,1300227,735
Chart,1300228,621
Chart,1300229,653
Chart,1300230,888
Chart,1400231,1365
Chart,1400232,2237
Chart,1400264,2229
Chart,1400265,2427
Chart,1400751,2197
Chart,1400752,2206
Chart,1400778,3293
Chart,1400779,1212
Chart,1500082,1084
Chart,1500110,1095
Chart,1600017,42
Chart,1600018,42
Chart,1600019,42
Chart,1600020,45
Chart,1600021,42
Chart,1600022,41
Chart,1600044,41
Chart,1700178,132
Chart,1700179,103
Chart,1800107,405
Chart,1800108,477
Chart,1800111,532
Chart,1800112,444
Chart,1800113,536
Chart,1800202,510
Chart,1900077,1814
Chart,1900112,799
Chart,2100062,29
Chart,2100063,34
Chart,2100064,30
Chart,2100065,35
Chart,2100066,33
Chart,2100067,34
Chart,2100068,30
Chart,2100069,29
Chart,2100070,35
Chart,2100071,33
Chart,2100072,30
Chart,2100073,30
Chart,2100074,34
Chart,2100075,37
Chart,2100076,33
Chart,2100077,31
Chart,2100078,31
Chart,2100079,35
Chart,2100080,30
Chart,2100081,36
Chart,2100082,33
Chart,2100083,31
Chart,2100084,31
Chart,2100085,35
Chart,2100086,31
Chart,2200034,83
Chart,2200035,83
Chart,2200036,77
Chart,2200037,89
Chart,2200038,69
Chart,2200039,83
Chart,2200040,82
Chart,2200068,70
Chart,2200069,83
Chart,2200070,83
Chart,2200071,68
Chart,2200072,72
Chart,2200073,80
Chart,2200074,81
Chart,2200075,79
Chart,2200076,83
Chart,2200077,69
Chart,2200078,72
Chart,2200079,79
Chart,2200080,77
Chart,2200081,81
Chart,2200082,77
Chart,2200086,67
Chart,2200087,83
Chart,2200088,68
