Project,Bug,TestSuite,ScoringScheme,Family,Formula,TotalDefn,KillDefn,HybridScheme,AggregationDefn,Score,ScoreWRTLoadedClasses
Chart,1600017,developer,first,mbfl,muse,elements,passfail,none,avg,3.56595228756e-05,0.00457317073171
Chart,1600017,developer,first,mbfl,ochiai,tests,exact,none,max,1.78297614378e-05,0.00228658536585
Chart,1600017,developer,first,sbfl,opt2,tests,,none,,4.16027766882e-05,0.00533536585366
Chart,1600017,developer,first,sbfl,dstar2,tests,,none,,4.16027766882e-05,0.00533536585366
Chart,1600017,developer,first,sbfl,barinel,tests,,none,,4.16027766882e-05,0.00533536585366
Chart,1600017,developer,first,sbfl,tarantula,tests,,none,,4.16027766882e-05,0.00533536585366
Chart,1600017,developer,first,sbfl,ochiai,tests,,none,,4.16027766882e-05,0.00533536585366
Chart,500085,developer,first,mbfl,muse,elements,passfail,none,avg,1.11928186875e-05,0.00190839694656
Chart,500085,developer,first,mbfl,ochiai,tests,exact,none,max,1.11928186875e-05,0.00190839694656
Chart,500085,developer,first,sbfl,opt2,tests,,none,,2.79820467188e-05,0.00477099236641
Chart,500085,developer,first,sbfl,dstar2,tests,,none,,2.79820467188e-05,0.00477099236641
Chart,500085,developer,first,sbfl,barinel,tests,,none,,2.79820467188e-05,0.00477099236641
Chart,500085,developer,first,sbfl,tarantula,tests,,none,,2.79820467188e-05,0.00477099236641
Chart,500085,developer,first,sbfl,ochiai,tests,,none,,2.79820467188e-05,0.00477099236641
Chart,2100074,developer,first,mbfl,muse,elements,passfail,none,avg,4.35670185222e-05,0.00295109612142
Chart,2100074,developer,first,mbfl,ochiai,tests,exact,none,max,0.0001120294762,0.00758853288364
Chart,2100074,developer,first,sbfl,opt2,tests,,none,,0.000311192989444,0.0210792580101
Chart,2100074,developer,first,sbfl,dstar2,tests,,none,,0.000311192989444,0.0210792580101
Chart,2100074,developer,first,sbfl,barinel,tests,,none,,0.000311192989444,0.0210792580101
Chart,2100074,developer,first,sbfl,tarantula,tests,,none,,0.000311192989444,0.0210792580101
Chart,2100074,developer,first,sbfl,ochiai,tests,,none,,0.000311192989444,0.0210792580101
Chart,500080,developer,first,mbfl,muse,elements,passfail,none,avg,1.11928186875e-05,0.00190839694656
Chart,500080,developer,first,mbfl,ochiai,tests,exact,none,max,6.71569121252e-05,0.0114503816794
Chart,500080,developer,first,sbfl,opt2,tests,,none,,0.000106331777532,0.0181297709924
Chart,500080,developer,first,sbfl,dstar2,tests,,none,,0.000106331777532,0.0181297709924
Chart,500080,developer,first,sbfl,barinel,tests,,none,,0.000123121005563,0.0209923664122
Chart,500080,developer,first,sbfl,tarantula,tests,,none,,0.000123121005563,0.0209923664122
Chart,500080,developer,first,sbfl,ochiai,tests,,none,,0.000111928186875,0.0190839694656
Chart,2200081,developer,first,mbfl,muse,elements,passfail,none,avg,2.49044292527e-05,0.0047619047619
Chart,2200081,developer,first,mbfl,ochiai,tests,exact,none,max,0.000105843824324,0.0202380952381
Chart,2200081,developer,first,sbfl,opt2,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200081,developer,first,sbfl,dstar2,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200081,developer,first,sbfl,barinel,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200081,developer,first,sbfl,tarantula,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200081,developer,first,sbfl,ochiai,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200078,developer,first,mbfl,muse,elements,passfail,none,avg,3.11305365659e-05,0.00595238095238
Chart,2200078,developer,first,mbfl,ochiai,tests,exact,none,max,0.000124522146264,0.0238095238095
Chart,2200078,developer,first,sbfl,opt2,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200078,developer,first,sbfl,dstar2,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200078,developer,first,sbfl,barinel,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200078,developer,first,sbfl,tarantula,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200078,developer,first,sbfl,ochiai,tests,,none,,0.000149426575516,0.0285714285714
Chart,2200073,developer,first,mbfl,muse,elements,passfail,none,avg,4.98088585055e-05,0.00952380952381
Chart,2200073,developer,first,mbfl,ochiai,tests,exact,none,max,5.60349658187e-05,0.0107142857143
Chart,2200073,developer,first,sbfl,opt2,tests,,none,,0.000105843824324,0.0202380952381
Chart,2200073,developer,first,sbfl,dstar2,tests,,none,,0.000105843824324,0.0202380952381
Chart,2200073,developer,first,sbfl,barinel,tests,,none,,0.000105843824324,0.0202380952381
Chart,2200073,developer,first,sbfl,tarantula,tests,,none,,0.000105843824324,0.0202380952381
Chart,2200073,developer,first,sbfl,ochiai,tests,,none,,0.000105843824324,0.0202380952381
Chart,24,developer,first,mbfl,muse,elements,passfail,none,avg,0.000150095686,0.184615384615
Chart,24,developer,first,mbfl,ochiai,tests,exact,none,max,2.50159476666e-05,0.0307692307692
